日期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),星期
20210101,28487,25720,2767,10.76,6
20210102,28421,25485,2936,11.52,7
20210103,28513,25476,3037,11.92,1
20210104,32766,29734,3032,10.2,2
20210105,33117,30050,3067,10.21,3
20210106,33429,30327,3102,10.23,4
20210107,33602,30500,3102,10.17,5
20210108,33518,30412,3106,10.21,6
20210109,31269,28068,3201,11.41,7
20210110,30161,27255,2906,10.66,1
20210111,33772,30679,3093,10.08,2
20210112,33749,30633,3116,10.17,3
20210113,33108,29994,3114,10.38,4
20210114,33153,30021,3132,10.43,5
20210115,32864,29555,3309,11.2,6
20210116,30167,27121,3046,11.23,7
20210117,29746,26712,3034,11.36,1
20210118,33095,29938,3157,10.55,2
20210119,33148,29990,3158,10.53,3
20210120,33134,29984,3150,10.5,4
20210121,33359,30285,3074,10.15,5
20210122,33192,30095,3097,10.29,6
20210123,30421,27218,3203,11.77,7
20210124,28790,25717,3073,11.95,1
20210125,33063,29794,3269,10.97,2
20210126,33152,29933,3219,10.75,3
20210127,32652,29588,3064,10.36,4
20210128,32843,29557,3286,11.12,5
20210129,32472,29269,3203,10.94,6
20210130,30109,26662,3447,12.93,7
20210131,28364,25458,2906,11.41,1
20210201,31980,29042,2938,10.12,2
20210202,32772,29726,3046,10.24,3
20210203,32629,29623,3006,10.15,4
20210204,32787,29655,3132,10.56,5
20210205,32351,29291,3060,10.45,6
20210206,29743,26677,3066,11.49,7
20210207,28678,25915,2763,10.66,1
20210208,30962,27915,3047,10.92,2
20210209,28994,26114,2880,11.03,3
20210210,27257,24370,2887,11.85,4
20210211,24966,22133,2833,12.8,5
20210212,24905,21913,2992,13.65,6
20210213,24980,21956,3024,13.77,7
20210214,25351,22440,2911,12.97,1
20210215,26109,23465,2644,11.27,2
20210216,27716,24715,3001,12.15,3
20210217,30715,27891,2824,10.13,4
20210218,31440,28533,2907,10.19,5
20210219,31512,28627,2885,10.08,6
20210220,30367,27392,2975,10.86,7
20210221,28396,25257,3139,12.43,1
20210222,32355,29366,2989,10.18,2
20210223,33028,29919,3109,10.39,3
20210224,33080,30031,3049,10.15,4
20210225,33100,30072,3028,10.07,5
20210226,32780,29739,3041,10.23,6
20210227,29214,26456,2758,10.42,7
20210228,27689,25017,2672,10.68,1
20210301,29388,26556,2832,10.66,2
20210302,32637,29416,3221,10.95,3
20210303,32752,29677,3075,10.36,4
20210304,32873,29785,3088,10.37,5
20210305,33137,29869,3268,10.94,6
20210306,29717,26912,2805,10.42,7
20210307,28545,25794,2751,10.67,1
20210308,32882,29772,3110,10.45,2
20210309,32995,29947,3048,10.18,3
20210310,32961,29906,3055,10.22,4
20210311,33116,30040,3076,10.24,5
20210312,33200,29928,3272,10.93,6
20210313,29872,26797,3075,11.48,7
20210314,28574,25641,2933,11.44,1
20210315,33163,30088,3075,10.22,2
20210316,33771,30684,3087,10.06,3
20210317,33899,30716,3183,10.36,4
20210318,33938,30724,3214,10.46,5
