日期,星期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%)
20220101,6,28996,25651,3345,13.04
20220102,7,29555,25914,3641,14.05
20220103,1,33165,29981,3184,10.62
20220104,2,32944,30324,2620,8.64
20220105,3,32960,30448,2512,8.25
20220106,4,33482,30273,3209,10.6
20220107,5,32960,29950,3010,10.05
20220108,6,30512,27365,3147,11.5
20220109,7,29718,26560,3158,11.89
20220110,1,32684,30193,2491,8.25
20220111,2,32880,30467,2413,7.92
20220112,3,32424,30204,2220,7.35
20220113,4,32657,30182,2475,8.2
20220114,5,32536,29855,2681,8.98
20220115,6,30086,27793,2293,8.25
20220116,7,30218,26789,3429,12.8
20220117,1,33289,30574,2715,8.88
20220118,2,33043,30618,2425,7.92
20220119,3,33325,30323,3002,9.9
20220120,4,33269,30609,2660,8.69
20220121,5,32912,30733,2179,7.09
20220122,6,32526,29494,3032,10.28
20220123,7,29467,27166,2301,8.47
20220124,1,33473,30306,3167,10.45
20220125,2,32983,30020,2963,9.87
20220126,3,32607,30058,2549,8.48
20220127,4,32860,29397,3463,11.78
20220128,5,32347,27647,4700,17.0
20220129,6,29568,26222,3346,12.76
20220130,7,28184,25097,3087,12.3
20220131,1,26223,23112,3111,13.46
20220201,2,27304,22883,4421,19.32
20220202,3,26202,22970,3232,14.07
20220203,4,27084,23949,3135,13.09
20220204,5,28262,24685,3577,14.49
20220205,6,28254,25324,2930,11.57
20220206,7,28986,25878,3108,12.01
20220207,1,32727,29741,2986,10.04
20220208,2,33386,29991,3395,11.32
20220209,3,33100,30267,2833,9.36
20220210,4,33360,30388,2972,9.78
20220211,5,33514,30171,3343,11.08
20220212,6,30926,28005,2921,10.43
20220213,7,30785,27028,3757,13.9
20220214,1,33543,30577,2966,9.7
20220215,2,33483,30606,2877,9.4
20220216,3,34155,30490,3665,12.02
20220217,4,33842,30799,3043,9.88
20220218,5,33799,30615,3184,10.4
20220219,6,31374,28385,2989,10.53
20220220,7,31412,28440,2972,10.45
20220221,1,33349,31343,2006,6.4
20220222,2,33591,30988,2603,8.4
20220223,3,33871,31304,2567,8.2
20220224,4,33626,31115,2511,8.07
20220225,5,33520,30114,3406,11.31
20220226,6,31266,27829,3437,12.35
20220227,7,29923,26193,3730,14.24
20220228,1,31458,27331,4127,15.1
20220301,2,33008,30498,2510,8.23
20220302,3,33810,30675,3135,10.22
20220303,4,36081,28955,7126,24.61
20220304,5,33483,30222,3261,10.79
20220305,6,31741,27403,4338,15.83
20220306,7,30995,26363,4632,17.57
20220307,1,32256,29729,2527,8.5
20220308,2,33226,29936,3290,10.99
20220309,3,32835,30285,2550,8.42
20220310,4,33421,30333,3088,10.18
20220311,5,33504,30356,3148,10.37
20220312,6,31343,27905,3438,12.32
20220313,7,30242,27403,2839,10.36
20220314,1,33941,31282,2659,8.5
20220315,2,34853,31867,2986,9.37
20220316,3,34838,31979,2859,8.94
20220317,4,34806,32094,2712,8.45
20220318,5,35956,31532,4424,14.03
20220319,6,31011,28336,2675,9.44
20220320,7,30626,27576,3050,11.06
20220321,1,34665,31914,2751,8.62
20220322,2,35174,31439,3735,11.88
20220323,3,34184,30467,3717,12.2
20220324,4,33383,31002,2381,7.68
20220325,5,35173,31779,3394,10.68
20220326,6,32405,29128,3277,11.25
20220327,7,30317,26903,3414,12.69
